stat_date,code,market,listed_date,symbol,type,de_listed_date,exchange
2026-01-05,159303.XSHE,CN,2024-06-27,大成恒生医疗保健ETF(QDII),ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159305.XSHE,CN,2024-09-27,广发国证新能源电池ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159306.XSHE,CN,2024-05-14,平安中证汽车零部件主题ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159307.XSHE,CN,2024-04-25,博时中证红利低波100ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159309.XSHE,CN,2024-06-18,汇添富中证油气资源ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159310.XSHE,CN,2024-04-30,天弘中证芯片产业ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159311.XSHE,CN,2025-07-15,易方达中证数字经济主题ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159312.XSHE,CN,2024-11-08,广发恒指港股通ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159315.XSHE,CN,2024-06-14,黄金股ETF工银,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159316.XSHE,CN,2025-03-26,易方达恒生港股通创新药ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159318.XSHE,CN,2024-06-21,恒生港股通ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159320.XSHE,CN,2024-12-24,广发恒生A股电网设备ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159321.XSHE,CN,2024-05-27,华安中证沪深港黄金产业股票ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159322.XSHE,CN,2024-06-14,平安中证沪深港黄金产业ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159323.XSHE,CN,2025-01-08,华夏中证港股通汽车产业主题ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159325.XSHE,CN,2024-11-08,南方中证半导体行业精选ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159326.XSHE,CN,2024-09-09,华夏中证电网设备主题ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159327.XSHE,CN,2024-08-05,万家中证半导体材料设备主题ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159328.XSHE,CN,2024-11-15,易方达中证家电龙头ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159329.XSHE,CN,2024-07-16,南方基金南方东英沙特阿拉伯ETF(QDII),ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159330.XSHE,CN,2024-08-19,沪深300ETF基金,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159331.XSHE,CN,2024-08-01,国泰中证港股通高股息投资ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159332.XSHE,CN,2024-08-01,富国中证中央企业红利ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159333.XSHE,CN,2024-09-03,万家中证港股通央企红利ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159335.XSHE,CN,2024-09-05,融通中证诚通央企科技创新ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159336.XSHE,CN,2025-02-12,融通中证诚通央企红利ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159337.XSHE,CN,2024-09-20,中证500ETF基金,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159338.XSHE,CN,2024-10-15,国泰中证A500ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159339.XSHE,CN,2024-10-15,A500ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159350.XSHE,CN,2023-12-11,富国深证50ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159351.XSHE,CN,2024-10-15,嘉实中证A500ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159352.XSHE,CN,2024-10-15,南方中证A500ETF,ETF,2999-12-31 00:00:00,XSHE
